ID,Phase,Priority,Status,Task,Where,Owner,Reference,Done when,Notes,project_id
GG-017,4 — Research,P3,Open,Land Use CUP research + infrastructure cost estimate no grant app,Huerfano County,Kate,GG-006 deferred,Cost range documented,Config G camp RV long-term,P009
GG-018,4 — Research,P2,Open,CNDC nonprofit path inquiry,CNDC,Kate,Week 2,Inquiry sent + response filed,Config N nonprofit path,P009
GG-019,2 — Apply queue,P3,Open,Draft and score Amber Grant / HerRise; pay $15 fee only if score 75+,Web,Kate,After GG-011 test,Draft scored; paid only if 75+,Config E C art consulting,P009
GG-020,3 — Garrett prep,P1,Canceled,Ask Garrett: Jun 8 2026 EQIP batch — does 36 ac Gardner fit any 2026 funding pool?,Field visit / Garrett,Kate,GG-Q05 Garrett.Quintana@usda.gov,Removed per Kate,Jun 8 batch question dropped,P009
GG-021,2 — Apply now,P1,Open,Women Founders Grant — submit essay ($25 fee Stage 2 only),Web,Kate,womenfoundersgrant.com,Submitted before Jun 30 2026,Score 68; pay $25 only after Galaxy narrative test passes,P009
GG-022,2 — Apply now,P1,Open,Hello Alice profile + Allstate Main Street Grants Program ($20K),Hello Alice,Kate,helloalice.com/funding/grants,Profile live + app before Jun 23 2026,6pm EST deadline; free application,P009
GG-023,2 — Apply queue,P1,Open,Huerfano Rural Jump-Start — HCED intake call + export plan,HCED Walsenburg,Kate,huerfano.org/support,MOU path confirmed with county,Up to $20K + tax credits; needs jobs/export story,P009
GG-024,1 — Foundation,P2,Open,Register OEDIT Grant Portal + subscribe CCI newsletter,OEDIT,Kate,oedit.colorado.gov/colorado-creative-industries,Account ready before next CCI deadline,Username = email.oeditcc per CCI instructions,P009
GG-025,1 — Foundation,P2,Open,CaFE artist account + Artwork Archive grant alerts,CaFE / Artwork Archive,Kate,artist.callforentry.org artworkarchive.com,Alerts on; weekly scan in GG-009,Colorado painting residencies and stipends,P009
GG-026,2 — Apply queue,P2,Open,Pollock-Krasner Foundation grant — rolling application,Kate individual,pkf.org,App submitted when exhibition record ready,Score 55; 9-12 month review; painting only,P009
GG-027,5 — Wait,P3,Deferred,RedLine Denver AiR — skip 2026-28; target ~Jun 2027 open call,RedLine Denver,Kate,https://www.redlineart.org/apply,Revisit next cycle,Score 35; Denver commute gate; not applying Jul 1 2026,P009
GG-032,2 — Apply now,P2,Open,PLAYA 2027 Art/Sci Residency — apply by Jun 30 2026,PLAYA Oregon,Kate,https://playasummerlake.org/2027-artsci/,SlideRoom submitted; waiver email sent by Jun 28,Free cabin residency; request fee waiver programs@playasummerlake.org,P009
GG-033,5 — Wait,P2,Open,Green Box Artist Residency 2027 — applications open Sep 2026,Green Box CO,Kate,https://greenboxarts.org/year-round-programs/artists-in-residence/apply/,Apply when window opens,No app fee; $9K stipend; highly competitive,P009
GG-034,6 — Hold,P3,Hold,Artist Grant — $30 application fee,Artist Grant,Kate,https://artistgrant.org/apply,Excluded unless fee waived,$1200 grant; Jul 15 and Nov 15 deadlines,P009
GG-035,2 — Apply queue,P3,Open,Gottlieb Individual Support Grant — rolling free application,Gottlieb Foundation,Kate,https://www.gottliebfoundation.org/grant,App submitted when portfolio ready,Painters only; up to $20K; ~6 month review,P009
GG-028,7 — Later,P3,Later,NASE Growth Grant — defer to later round,NASE,Kate,https://www.nase.org/become-a-member/member-benefits/business-resources/growth-grants,Revisit when pursuing business grants,$4K; membership cost; not ag/conservation round,P009
GG-029,3 — Garrett prep,P1,Open,Ask Garrett about CSP eligibility alongside EQIP on 36 ac Gardner,Field visit,Kate,GG-W01 CSP Colorado,Answer recorded,CSP annual stewardship payments; stacks with EQIP,P009
GG-030,1 — Foundation,P1,Open,Email grant mining — run Gmail searches per EMAIL-GRANT-MINING.md,Gmail,Kate,gilded-goose/EMAIL-GRANT-MINING.md,Leads forwarded or exported to repo,Cannot auto-read inbox; user runs 5 search queries,P009
GG-W01,5 — Wait,P1,Wait,Garrett Quintana field visit scheduled,NRCS Walsenburg,Kate,Garrett.Quintana@usda.gov 719-738-1171,Visit completed,After Jul 1 2026 per Sammie,P009
GG-W02,5 — Wait,P1,Wait,Conservation plan + EQIP contract drafting,NRCS,Kate,GG-W01,Plan + contract draft received,Follows Garrett visits,P009
GG-W03,5 — Wait,P1,Wait,EQIP funding decision,NRCS,Kate,Sammie timeline,Funding letter or denial,~Jun 2027 FY2027 per Sammie,P009
GG-W04,5 — Wait,P1,Open,Email grant mining — run Gmail queries; forward GRANT-LEADS to agent,Email,Kate,EMAIL-GRANT-MINING.md,Inbox leads in GRANTS-TRACKER,Unblocks personalized art/farm/USDA leads from newsletters,P009
GG-W05,5 — Wait,P3,Wait,Camp/RV grants research and applications,Land Use,Kate,GG-017 CUP,HOLD until CUP + infra budget,Config G,P009
GG-W06,5 — Wait,P2,Open,Western SARE Farmer/Rancher — sign up for reopen alert,Western SARE,Kate,western.sare.org/grants/farmer-rancher,Alert subscribed,Up to $35K; need CSU advisor when opens,P009
GG-H01,6 — Hold,P3,Hold,Folk & Traditional Arts grant track,CDA / arts,Kate,scoring below 50,Revisit if fit changes,Wrong fit — not folk art,P009
GG-H02,6 — Hold,P3,Hold,C-Commercial coloring book grants — sex-positive kink market,Self-funded,Kate,Config C-Commercial,No grant pursuit,Self-funded not grant-viable,P009
GG-H03,6 — Hold,P2,Hold,USDA REAP grants — federal grant awards paused Mar 2026,USDA REAP,Kate,Config I,Revisit when grants reopen,Loans only for now,P009
GG-H04,6 — Hold,P3,Hold,Camp/RV Jump-Start until Land Use CUP resolved,HCED,Kate,GG-017,HOLD_PERMIT lifted,CUP + infra cost first,P009
GG-H05,6 — Hold,P3,Hold,Arts in Society grant until nonprofit path established,CNDC / arts,Kate,GG-018,HOLD_PARTNER until Config N,Needs nonprofit partner path,P009
